sr_no;id_number; reference_number; sender_name; sender_address_line1;sender_address_line2;sender_address_line3; sender_contact; recipient_name; recipient_address_line1;recipient_address_line2;recipient_address_line3; recipient_contact;estimated_days; from_branch_id; to_branch_id; price;date_and_time;delivery_status;transporter;
51776;2002956;2021014007; Pooja Saraf; H.No. 27; Mukhopadhyay Road; Sikar 198700; +91 6445374728; Arya Zacharia; H.No. 797; Malhotra Zila; Pudukkottai-403170; +91 8628783357;2;37;64;6248; 2021-01-28 17:53:39;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51777;2002957;2021011182; Zarna Sastry;4; Choudhury Ganj; Solapur-739675; +91 7453341027; Nirja Ahuja;14; Murty Zila; Gudivada 196925; +91 9578396851;2;97;22;1378; 2021-01-28 11:30:11;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51778;2002958;2021012436; Dalbir Murthy; H.No. 945; Krish; Sagar 777609; +91 9161803146; Jasmit Mandal; H.No. 167; Datta Street; Adoni 800014; +91 8366031213;2;118;72;4385; 2021-01-28 04:59:50;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51779;2002959;2021014532; Faqid Dutt; H.No. 26; Dugar Chowk; Surat 348718; +91 7664760309; Jatin Ratti; H.No. 05; Bains Marg; Bhind 698840; +91 6898655035;2;46;122;3515; 2021-01-27 17:16:27;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51780;2002960;2021011317; Isha Borde;64; Patla Street; Begusarai 976839; +91 7461998273; Ishwar Kannan; 61/190; Chaudry Marg; Mango 782096; +91 7616992625;1;58;9;2423; 2021-01-27 14:45:53;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51781;2002961;2021012962; Urmi Edwin;848; Sandhu Street; Karnal 295708; +91 7051499977; Jeremiah Chanda; H.No. 023; Jaggi Ganj; Kamarhati-526544; +91 7215788944;1;54;94;3887; 2021-01-27 12:06:40;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51782;2002962;2021014852; Orinder Lad; 57/91; Badal Path; Bhalswa Jahangir Pur 872079; +91 9961750921; Zayyan Yadav; 80/846; Sundaram Marg; Kamarhati-885971; +91 9099550674;1;30;6;418; 2021-01-27 09:29:50;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51783;2002963;2021013168; Fiyaz Kalita; 29/96; Nazareth Path; Ulhasnagar 931994; +91 7888245931; Owen Wali; 55/09; Sachdeva Marg; Meerut 598508; +91 6480803020;2;144;126;3533; 2021-01-27 05:53:12;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51784;2002964;2021015065; Balhaar Dhar; H.No. 91; Hari Path; Dehri 149212; +91 9044529777; Maanas Thakur; 20/247; Dhawan Street; Tirupati-946889; +91 7139469608;1;143;31;6873; 2021-01-27 01:23:42;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51785;2002965;2021012063; Triya Sarraf; 83/25; Upadhyay Marg; Aligarh 973247; +91 9539167623; Abhiram Dayal;8; Kunda Zila; Belgaum 804578; +91 7330795667;2;80;122;2515; 2021-01-26 23:15:39;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51786;2002966;2021010633; Daksha Prasad; 53/783; Doctor Chowk; Tirupati 736463; +91 9176292733; Osha Chawla; 62/128; Kata Marg; Pallavaram 321918; +91 6277252121;1;31;94;1134; 2021-01-26 19:38:03;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51787;2002967;2021010023; Lila Mani; 08/69; Randhawa Nagar; Davanagere 209484; +91 7623381179; Vihaan Chakrabarti;81; Walia Zila; Avadi-580401; +91 8292679669;1;99;105;2280; 2021-01-26 02:40:14;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51788;2002968;2021014590; Amol Chander; H.No. 12; Venkatesh; Phusro 708189; +91 7070199571; Amaira Mandal; H.No. 93; Brar Road; Raipur 226764; +91 8475029732;2;99;39;4464; 2021-01-25 15:09:48;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51789;2002969;2021014522; Wridesh Mahajan;892; Butala Street; Khammam 402617; +91 8276026363; Upadhriti Sandal; 61/55; Venkatesh Ganj; Karnal-393147; +91 9322424380;2;148;124;6765; 2021-01-25 10:11:26;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51790;2002970;2021012753; Zaitra Walla; 80/40; Andra Chowk; Katni 542638; +91 8378022342; Luke Tandon; H.No. 211; Gulati; Ichalkaranji 864291; +91 6614651402;1;135;148;6765; 2021-01-25 08:09:45;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51791;2002971;2021015235; Ishita Bir; 24/84; Ganesan Chowk; Karimnagar 226452; +91 8268668108; Gopal Oommen;936; Grewal Marg; Muzaffarnagar 776439; +91 7757407467;1;80;150;936; 2021-01-24 23:12:23;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51792;2002972;2021013404; Joshua Natarajan; H.No. 45; Choudhury Zila; Hapur-392407; +91 6817245811; Wakeeta Apte; H.No. 402; Hari Road; Surat-139538; +91 9126204305;2;11;124;2418; 2021-01-24 02:29:54;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51793;2002973;2021015437; Fariq Parmar; H.No. 012; Nadig Circle; Siliguri 702695; +91 6147242977; Chasmum Mahajan;788; Prabhakar Marg; Junagadh 600030; +91 9774332501;1;125;100;4799; 2021-01-23 13:59:22;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51794;2002974;2021012028; Ayush Sarraf; H.No. 389; Kanda Zila; Morbi-943970; +91 8150469019; Ishwar Jani; H.No. 93; Madan Chowk; Suryapet 050708; +91 7407334181;1;23;8;380; 2021-01-23 11:33:19;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51795;2002975;2021015357; Jalsa Korpal;95; Dewan; Kamarhati 174999; +91 6710085391; Yashawini Iyer; 54/413; Badami Nagar; Jamnagar 847457; +91 9446727953;1;99;51;463; 2021-01-23 08:36:39;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51796;2002976;2021010862; Isaiah Mohan; 73/661; Deshpande Chowk; Morbi 762072; +91 9762758360; Rachana Kanda;78; Kulkarni Path; Jalna-220057; +91 6974638552;1;52;22;5609; 2021-01-23 06:56:46;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51797;2002977;2021012996; Tanish Wason; 21/89; Ravi; Sambhal 228634; +91 7086692642; Advika Vig;60; Jani Street; Yamunanagar 354449; +91 9986301263;1;80;31;1602; 2021-01-23 04:14:03;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51798;2002978;2021014710; Faris Sama;874; Butala; Ambarnath-347254; +91 6137776334; Gaurika Thakkar; 82/87; Rajan Zila; Pali-526024; +91 6632048951;2;4;75;4734; 2021-01-23 02:26:09;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51799;2002979;2021014075; Isaiah Kulkarni;954; Palla Road; Adoni 439910; +91 7396666024; Oviya Prasad; H.No. 00; Bedi Marg; Miryalaguda-422460; +91 8816880352;1;113;58;6659; 2021-01-23 01:35:20;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51800;2002980;2021014528; Yashvi Sachdev; 00/78; Suresh Nagar; Shahjahanpur 929598; +91 9894091611; Dalaja Lall; 68/26; Char; Bhalswa Jahangir Pur-336488; +91 8823270211;2;7;76;538; 2021-01-22 04:54:01;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51801;2002981;2021011288; Logan Kant; 51/652; Seshadri Chowk; Kishanganj 605348; +91 8750306122; Wridesh Bajaj;730; Parikh Road; Purnia-199087; +91 6525656210;1;42;87;4044; 2021-01-22 00:39:04;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51802;2002982;2021013834; Eesha Dua;45; Deep; Surendranagar Dudhrej-651583; +91 8849864272; Isaac Bains; 39/144; Naidu Marg; Bhavnagar 136435; +91 7964208508;1;112;63;963; 2021-01-21 22:13:18;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51803;2002983;2021011028; Ishani Ramesh; 51/89; Lad Ganj; Sirsa 622081; +91 9474175884; Maya Soman; 35/51; Sachdeva Zila; Vasai-Virar-541744; +91 9434256863;1;67;14;3308; 2021-01-21 17:14:54;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51804;2002984;2021013048; Warda Sood;260; Bhatt Circle; Giridih-073325; +91 7960587383; Xalak Gara;80; Jayaraman Ganj; Imphal-437217; +91 6019097639;2;3;65;4597; 2021-01-21 10:26:26;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51805;2002985;2021013973; Ekaja Kade; H.No. 04; Hans Path; Morbi 255986; +91 7284959356; Xavier Pandya;142; Thakkar Circle; Thane-675456; +91 9781219448;1;127;126;6610; 2021-01-20 06:52:44;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51806;2002986;2021014010; Yashica Bedi; H.No. 62; Kohli Marg; Mangalore-770791; +91 6508211202; Aachal Barad; H.No. 67; Sehgal Circle; Ratlam 736137; +91 9233674961;2;49;56;3982; 2021-01-20 00:17:23;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51807;2002987;2021014377; Aarav Prabhu; H.No. 275; Kar Marg; Visakhapatnam 815247; +91 9487843636; Leena Deo;292; Shroff Circle; Dehradun 977769; +91 8735524944;2;45;29;429; 2021-01-19 17:51:14;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51808;2002988;2021012081; Aahana Murthy; H.No. 91; Choudhury Marg; Saharsa-446350; +91 7450950346; Indrajit Joshi; 15/467; Dutta Road; Kolhapur-534349; +91 7457025568;2;54;112;4604; 2021-01-19 12:00:01;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51809;2002989;2021013323; Imaran Upadhyay; H.No. 39; Natt Street; Chittoor-219014; +91 8978056800; Lucky Rai;576; Varkey; Guwahati-913269; +91 6959204438;1;82;107;1559; 2021-01-19 05:56:02;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51810;2002990;2021013871; Aashi Chanda; 09/01; Rao; Madhyamgram-841046; +91 6697538522; Balveer Brahmbhatt;52; Thaker Zila; Ramgarh-087788; +91 9645193642;2;57;65;2347; 2021-01-18 12:27:41;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51811;2002991;2021015287; Vritti Prakash;193; Singhal Marg; Bellary 305959; +91 8399117237; Wishi Banerjee;570; Kashyap Circle; Jalandhar 685261; +91 7707414197;2;19;12;4922; 2021-01-18 10:03:59;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51812;2002992;2021012966; Yatin More;546; Yohannan Zila; Meerut-174988; +91 6466866293; Zinal Narain; H.No. 736; Dyal Path; Sikar-613663; +91 9821049289;1;82;21;5847; 2021-01-18 09:34:03;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51813;2002993;2021014593; Banjeet Char; H.No. 27; Pau Chowk; Purnia-498542; +91 7292804558; Gautami Anne;34; Randhawa Zila; Medininagar-245809; +91 8555983308;1;97;21;3710; 2021-01-18 09:30:13;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51814;2002994;2021010218; Christopher Mandal; 11/966; Aggarwal Ganj; Orai 779753; +91 7545770748; Karan Dube; H.No. 109; Gulati Zila; Phusro-854632; +91 8964608997;1;35;55;6873; 2021-01-18 08:16:01;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51815;2002995;2021013802; Yash Choudhary; 83/82; Brar Road; Nizamabad 334100; +91 7671734193; Madhavi Rai; 05/721; Wable Nagar; Erode-550016; +91 8620680224;1;9;25;1504; 2021-01-16 21:40:07;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51816;2002996;2021012921; Vamakshi Wadhwa; H.No. 484; Deshmukh Ganj; Thrissur-587238; +91 8720512746; Yadavi Jayaraman;52; Nagy Circle; Siliguri 653719; +91 9809753538;1;103;50;4488; 2021-01-16 14:20:24;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51817;2002997;2021012130; Jagvi Nagarajan; 27/051; Rai Ganj; Kottayam 808608; +91 8744248986; Anthony Bhatti; 87/392; Hans Marg; Ambattur-821836; +91 6866427985;1;25;122;1308; 2021-01-16 00:33:35;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51818;2002998;2021011757; Avi Devan;107; Sen; Bhatpara-380587; +91 6134422278; Lajita Suri;815; Maharaj Road; Gurgaon-194212; +91 9755669854;1;118;97;6820; 2021-01-15 17:09:25;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51819;2002999;2021010137; Ikshita Loke; 20/93; Lalla Circle; Bathinda-830243; +91 7749518989; Siya Lall; 41/269; Oza Ganj; Ambattur-765960; +91 7291452186;1;15;72;3380; 2021-01-15 15:17:43;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51820;2003000;2021012631; Mekhala Shah; H.No. 399; Buch Street; Phagwara 678184; +91 9950368971; Girindra Sundaram; 96/71; Nori Road; Eluru 966242; +91 8579269212;1;48;134;3548; 2021-01-15 13:20:23;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51821;2003001;2021013789; Triveni Toor; 67/31; Grewal Street; Raiganj 308329; +91 8113247745; Mugdha Mital;468; Choudhury Marg; Firozabad 201241; +91 9929400356;1;124;53;1982; 2021-01-15 02:25:02;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51822;2003002;2021010496; Eiravati Babu;76; Ahluwalia Marg; Lucknow-666825; +91 6041795248; Yash Mandal; H.No. 95; Tak Circle; Raichur-571167; +91 7465584493;1;62;108;631; 2021-01-14 21:39:32;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51823;2003003;2021013423; Pranit Bobal; 97/95; Balasubramanian Marg; Eluru 526925; +91 9451033828; Aarush Karnik; 49/915; Johal Path; Khammam 278416; +91 7120333145;2;56;40;2033; 2021-01-14 21:15:06;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51824;2003004;2021013553; Priya Chad; H.No. 495; Nori Path; Eluru-122454; +91 7158245140; Yashica Kapadia;45; Madan Nagar; Kalyan-Dombivli 392098; +91 9824672985;2;36;99;6418; 2021-01-14 07:22:17;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51825;2003005;2021012687; Daksh Ghose;2; Bhavsar Path; Silchar-650983; +91 6396590353; Rajeshri Ratta;39; Vohra Path; Ramgarh 083254; +91 9525076642;1;33;81;3799; 2021-01-14 05:33:36;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51826;2003006;2021012359; Nidhi Ben; 28/48; Krishnan Marg; Bikaner 531620; +91 6340706045; Adya Pandey; 14/718; Saraf; Bongaigaon 965853; +91 7443572883;1;70;72;3421; 2021-01-13 23:36:29;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51827;2003007;2021010129; Upasna Saraf; 77/01; Ratta Marg; Karnal-428688; +91 6963549992; Aradhana Dixit;274; Kapadia Street; Srinagar-671915; +91 8706761503;1;12;132;2359; 2021-01-13 16:12:00;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51828;2003008;2021014529; Warinder Memon; H.No. 277; Choudhary Nagar; Ozhukarai 367112; +91 9160874789; Hemangini Lad; 98/205; Subramanian Nagar; Jamalpur 512921; +91 6206385088;1;114;97;700; 2021-01-13 13:06:04;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51829;2003009;2021011185; Vanya Gupta;264; Chakraborty Zila; Salem-558112; +91 9521384311; Gagan Upadhyay; 28/96; Mitra Zila; Deoghar 769544; +91 6374134515;1;11;70;1647; 2021-01-13 00:36:15;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51830;2003010;2021014946; Samesh Dada; 44/884; Hora Zila; Hapur-619895; +91 9081558359; Dominic Shanker; 51/334; Memon Marg; Chandigarh-352570; +91 6218991925;1;52;30;5206; 2021-01-12 12:59:30;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51831;2003011;2021014118; Lucky Lala; H.No. 21; Uppal Road; Sultan Pur Majra-558981; +91 9157560687; Wahab Mani; 92/15; Borra Ganj; Faridabad-574753; +91 8632076457;2;113;22;5755; 2021-01-12 03:09:12;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51832;2003012;2021011721; Yagnesh Oommen; 89/963; Venkatesh Ganj; Ujjain-317529; +91 6978599847; Januja Sharaf; H.No. 282; Jhaveri Street; Gopalpur-286304; +91 7373217900;1;128;49;2317; 2021-01-11 19:15:01;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51833;2003013;2021013749; Ikbal Kurian; 28/091; Comar Marg; Sambhal-205851; +91 9104813714; Raksha Konda;56; Uppal Zila; Nagpur-202769; +91 7241139631;2;76;20;4968; 2021-01-11 16:29:58;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51834;2003014;2021010771; Maya Kakar; 83/53; Hegde; Dehradun 115310; +91 7986201893; Avni Sandhu;795; Dey Circle; Ajmer-080818; +91 9538996038;1;111;120;4480; 2021-01-11 14:19:41;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51835;2003015;2021010941; Osha Nadig; H.No. 13; Jani Ganj; Madurai 710688; +91 6735220502; Adweta Chaudhari;614; Choudhry Chowk; Cuttack-159681; +91 8360729895;2;138;138;5017; 2021-01-10 15:39:55;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51836;2003016;2021011000; Hema Swaminathan; H.No. 88; Soman Path; Narasaraopet-320881; +91 6842040611; Vincent Goel; 88/05; Karan Marg; Ahmedabad 723824; +91 9536263133;2;48;41;6166; 2021-01-10 04:09:24;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51837;2003017;2021012656; Kashish Chawla; 77/115; Bir; Bidar-865954; +91 7120058923; Yagnesh Sathe; H.No. 159; Tara; Jalandhar 406542; +91 6829479299;1;62;119;4972; 2021-01-09 20:35:42;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51838;2003018;2021012724; Sara Srinivasan; H.No. 337; Menon Chowk; Bhilwara-366714; +91 8187648168; Gautam Bajwa; H.No. 409; Grewal Street; Purnia 123051; +91 6285501314;2;125;110;6531; 2021-01-09 19:59:41;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51839;2003019;2021013894; Aarna Dutt; H.No. 38; Madan; Bihar Sharif 405124; +91 7664542321; Anamika Sarma;345; Dhar Path; Baranagar-574756; +91 6282608423;1;133;139;6158; 2021-01-08 14:30:00;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51840;2003020;2021011079; Tara Chander; H.No. 43; Narayanan; Khora -102879; +91 6681546222; Dev DÃ¯Â¿Â½Alia; 84/631; Joshi Road; Fatehpur 268913; +91 9715959492;2;148;129;1718; 2021-01-08 13:38:38;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51841;2003021;2021010784; Gavin Bhat; 89/850; Chaudhry Ganj; Berhampur-257084; +91 7911627658; Rachita Majumdar; 28/07; Singhal Nagar; Raichur-326178; +91 7760521924;2;33;88;64549; 2021-01-08 10:02:43;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51842;2003022;2021013837; Zehaan Bhatti;306; Badal Path; Navi Mumbai-311318; +91 9776535200; Ijaya Chacko; H.No. 377; Bandi Road; Sagar 985157; +91 6108049460;2;75;57;6000; 2021-01-08 10:00:46;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51843;2003023;2021014405; Zayan Hora; 62/29; Mani Street; Tirupati-265696; +91 9696442938; Onveer Agate; 63/180; Pandit Circle; Ulhasnagar-216014; +91 8111637956;2;32;134;1624; 2021-01-08 03:00:44;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51844;2003024;2021013150; Upma Dave;199; Chanda Circle; Katihar 139849; +91 9605625214; Vedika Dhillon; H.No. 09; Goyal Street; Bareilly-125287; +91 8674659861;1;148;79;1975; 2021-01-07 01:38:31;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51845;2003025;2021012943; Triveni Aurora;90; Jayaraman Zila; Nagercoil-455200; +91 8479396340; Luke Dhillon;62; Singhal Zila; Sikar 217276; +91 9266271151;1;104;7;2487; 2021-01-05 15:29:59;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51846;2003026;2021014575; Turvi Kuruvilla;68; Mody Street; Moradabad-413007; +91 8575487908; Udyati Behl; H.No. 77; Mallick Nagar; Naihati 716036; +91 8588717858;2;36;26;5087; 2021-01-05 12:44:46;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51847;2003027;2021013002; Xalak Bains; H.No. 50; Misra Nagar; Arrah 182005; +91 8493646632; Balendra Oza; H.No. 68; Master Chowk; Gandhinagar-654530; +91 9619383008;2;16;66;1956; 2021-01-05 10:36:36;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51848;2003028;2021010979; Nicholas Dhawan; H.No. 30; Jaggi Nagar; Ajmer 399272; +91 6718326546; Ekansh Seth;378; Prabhu; Muzaffarpur 778196; +91 9013183470;2;67;129;5299; 2021-01-04 18:33:24;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51849;2003029;2021011216; Hemangini Sibal;62; Dhar Nagar; Jaunpur-117873; +91 9598901448; Warhi Sekhon; H.No. 735; Natt Path; Hindupur-578468; +91 8824641576;2;7;106;6919; 2021-01-04 11:24:23;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51850;2003030;2021014144; Pallavi Lala; H.No. 41; Dalal Marg; Ambala 953880; +91 8281729825; Samesh Munshi;791; Narang Ganj; Warangal 951261; +91 7946268800;2;99;139;5544; 2021-01-04 03:32:48;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51851;2003031;2021010359; Rohan Andra; H.No. 450; Chopra Nagar; Bhilwara 744750; +91 8202422312; Vritti Dyal; 31/71; Bhalla Ganj; Ghaziabad 627951; +91 9963860158;2;146;58;2646; 2021-01-03 20:28:06;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51852;2003032;2021010744; Robert Sachar; 11/034; Mangal Path; Dhule-292735; +91 8707623769; Krisha Naidu; H.No. 04; Borah Circle; Aligarh-204160; +91 7928801668;1;60;149;6200; 2021-01-03 19:30:59;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51853;2003033;2021010910; Ladli Dalal; 43/59; Chaudhary Street; Chandigarh-370326; +91 7796656784; Sai Raval;440; Kara Ganj; Tiruvottiyur 770398; +91 7642864369;1;61;2;2335; 2021-01-03 18:35:47;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51854;2003034;2021014121; Ria Seshadri; 11/634; Sami Road; Ballia 266367; +91 8689170280; Vedant Magar;867; Tata Ganj; Shimla-458043; +91 7522728322;2;28;108;4391; 2021-01-03 14:48:32;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51855;2003035;2021011524; Vedhika Nanda; 45/26; Chaudhari Street; Gandhinagar 190216; +91 9086486036; Yatan Chokshi;27; Khare; Vasai-Virar 477602; +91 7689774217;2;148;128;6677; 2021-01-02 17:01:28;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51856;2003036;2021014777; Mohammed Dugar; 10/496; Morar Marg; Vellore 222360; +91 8225806003; Tanveer Pradhan; 36/433; Chanda Marg; Agartala 058228; +91 9666205203;1;19;75;6200; 2021-01-02 13:27:23;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51857;2003037;2021011789; Joshua Yogi; 01/04; Sant Circle; Kishanganj-010470; +91 6485186659; Vedhika Master;972; Srivastava Road; Jaunpur-892593; +91 7805117124;2;141;100;6407; 2021-01-02 10:24:54;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51858;2003038;2021014607; Eshana Raghavan; H.No. 25; Badami Road; Madhyamgram-200923; +91 9147932667; Nandini Solanki; 59/552; Bakshi Nagar; Tadepalligudem-000252; +91 7627238880;2;124;67;5966; 2021-01-02 02:35:25;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51859;2003039;2021012917; Luke Mall; H.No. 484; Sandal Path; Nagercoil 123306; +91 8675398991; Lucky Gole; H.No. 270; Patil Road; Farrukhabad 326197; +91 7801108513;1;130;41;6980; 2021-01-02 00:40:38;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51860;2003040;2021012569; Raghav Wable;260; Bala Road; Mehsana 231224; +91 9526292279; Ridhi Kannan; 84/753; Bobal Road; Korba-192911; +91 8169973088;1;46;36;762; 2021-01-01 20:03:44;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51861;2003041;2021013591; Kevin Zachariah; H.No. 625; Sampath Road; Jalandhar 162280; +91 8648310325; Hema Sawhney; 27/75; Atwal Zila; Deoghar-588832; +91 7606116352;2;120;87;4826; 2021-01-01 18:22:25;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51862;2003042;2021011343; Hemani Mohan; 08/642; Sandal Path; Tadipatri-607367; +91 6973472936; Devika Bhatia;52; Gara; Darbhanga-705750; +91 7095307565;2;41;99;6192; 2021-01-01 18:16:51;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51863;2003043;2021011690; Mohini Sandal; 40/56; Kapoor Path; Korba-078293; +91 9773456029; Yachana Mody; 98/38; Narula Path; Naihati-249602; +91 8621390660;2;56;132;3504; 2021-01-01 13:19:32;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51864;2003044;2021011058; Praneel Bhasin; H.No. 30; Sharaf Nagar; Tenali-076091; +91 7831844174; Shivansh Biswas;372; Kurian Zila; Chinsurah-571913; +91 6078736289;2;93;88;1891; 2021-01-01 02:41:53;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51865;2003045;2020121842; Liam Bhandari; 66/97; Keer Road; Howrah 444241; +91 8793803836; Benjamin Dave; H.No. 203; Contractor Ganj; North Dumdum 127360; +91 6955036606;2;107;48;764; 2020-12-31 20:27:31;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51866;2003046;2020122782; Jagrati Pau;68; Khosla Chowk; Berhampore 865112; +91 7570378654; Vinaya Dutta; H.No. 724; Mani Street; Bahraich 132437; +91 9920910704;1;73;136;4691; 2020-12-31 13:17:29;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51867;2003047;2020121428; Tarak Ravi; H.No. 226; Arya Marg; Bellary 778750; +91 9353054477; Omya Sane; 52/42; Virk Circle; Bokaro-967328; +91 9994056899;2;111;57;1258; 2020-12-31 10:10:23;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51868;2003048;2020121791; Eshana Sha; H.No. 61; Shroff; Gangtok-784072; +91 6144804554; Chasmum Naidu; 65/78; Pal Circle; Jalna 724231; +91 9693086148;2;63;88;5156; 2020-12-31 09:40:12;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51869;2003049;2020121018; Inaya Gulati; 85/84; Sarkar; Jalgaon 293526; +91 9744371175; Sai Acharya; H.No. 41; Issac Street; Gudivada 263703; +91 8666609225;1;28;34;3043; 2020-12-31 06:55:01;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51870;2003050;2020123135; Vamakshi Dutt;59; Bir; Guna-038365; +91 9799839693; Yashodhara Kale;13; Balay Chowk; Jamshedpur 855835; +91 6917944819;2;95;8;1161; 2020-12-30 17:36:20;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
51871;2003051;2020121118; Ikbal Kalla; H.No. 53; Verma Road; Chandigarh 736901; +91 9521899253; Ati De;678; Dubey Nagar; Madanapalle 475307; +91 8805191314;2;111;76;6750; 2020-12-30 16:48:27;delivered;Blue Line Cargo & Logistics - New Delhi, Delhi;
